fluid_key,fluid_label,fluid_type,charge_L,makeup_rate_pct_per_yr,density_kg_per_L,price_usd_per_L,gwp100,tfa_molar_yield,annual_loss_L,annual_loss_kg,replacement_cost_usd,co2e_tonnes_per_yr,tfa_kg_per_yr,constants_source
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,7.0,1.4,70,320,0.0,7.0,9.8,490.0,3.136,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,7.5,1.4,70,320,0.0,7.5,10.5,525.0,3.36,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,8.0,1.4,70,320,0.0,8.0,11.2,560.0,3.584,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,8.5,1.4,70,320,0.0,8.5,11.9,595.0,3.808,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,9.0,1.4,70,320,0.0,9.0,12.6,630.0,4.032,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,9.5,1.4,70,320,0.0,9.5,13.3,665.0,4.256,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,10.0,1.4,70,320,0.0,10.0,14.0,700.0,4.48,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,10.5,1.4,70,320,0.0,10.5,14.7,735.0,4.704,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,11.0,1.4,70,320,0.0,11.0,15.4,770.0,4.928,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,11.5,1.4,70,320,0.0,11.5,16.1,805.0,5.152,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,12.0,1.4,70,320,0.0,12.0,16.8,840.0,5.376,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,12.5,1.4,70,320,0.0,12.5,17.5,875.0,5.6,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,13.0,1.4,70,320,0.0,13.0,18.2,910.0,5.824,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,13.5,1.4,70,320,0.0,13.5,18.9,945.0,6.048,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,14.0,1.4,70,320,0.0,14.0,19.6,980.0,6.272,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,14.5,1.4,70,320,0.0,14.5,20.3,1015.0,6.496,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,15.0,1.4,70,320,0.0,15.0,21.0,1050.0,6.72,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,15.5,1.4,70,320,0.0,15.5,21.7,1085.0,6.944,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,16.0,1.4,70,320,0.0,16.0,22.4,1120.0,7.168,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,16.5,1.4,70,320,0.0,16.5,23.1,1155.0,7.392,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,17.0,1.4,70,320,0.0,17.0,23.8,1190.0,7.616,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,17.5,1.4,70,320,0.0,17.5,24.5,1225.0,7.84,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,18.0,1.4,70,320,0.0,18.0,25.2,1260.0,8.064,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,18.5,1.4,70,320,0.0,18.5,25.9,1295.0,8.288,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,19.0,1.4,70,320,0.0,19.0,26.6,1330.0,8.512,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,19.5,1.4,70,320,0.0,19.5,27.3,1365.0,8.736,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,20.0,1.4,70,320,0.0,20.0,28.0,1400.0,8.96,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,0.5,1.4,70,320,0.0,1.0,1.4,70.0,0.448,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,1.0,1.4,70,320,0.0,2.0,2.8,140.0,0.896,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,1.5,1.4,70,320,0.0,3.0,4.2,210.0,1.344,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,2.0,1.4,70,320,0.0,4.0,5.6,280.0,1.792,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,2.5,1.4,70,320,0.0,5.0,7.0,350.0,2.24,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,3.0,1.4,70,320,0.0,6.0,8.4,420.0,2.688,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,3.5,1.4,70,320,0.0,7.0,9.8,490.0,3.136,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,4.0,1.4,70,320,0.0,8.0,11.2,560.0,3.584,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,4.5,1.4,70,320,0.0,9.0,12.6,630.0,4.032,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,5.0,1.4,70,320,0.0,10.0,14.0,700.0,4.48,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,5.5,1.4,70,320,0.0,11.0,15.4,770.0,4.928,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,6.0,1.4,70,320,0.0,12.0,16.8,840.0,5.376,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,6.5,1.4,70,320,0.0,13.0,18.2,910.0,5.824,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,7.0,1.4,70,320,0.0,14.0,19.6,980.0,6.272,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,7.5,1.4,70,320,0.0,15.0,21.0,1050.0,6.72,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,8.0,1.4,70,320,0.0,16.0,22.4,1120.0,7.168,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,8.5,1.4,70,320,0.0,17.0,23.8,1190.0,7.616,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,9.0,1.4,70,320,0.0,18.0,25.2,1260.0,8.064,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,9.5,1.4,70,320,0.0,19.0,26.6,1330.0,8.512,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,10.0,1.4,70,320,0.0,20.0,28.0,1400.0,8.96,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,10.5,1.4,70,320,0.0,21.0,29.4,1470.0,9.408,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,11.0,1.4,70,320,0.0,22.0,30.8,1540.0,9.856,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,11.5,1.4,70,320,0.0,23.0,32.2,1610.0,10.304,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,12.0,1.4,70,320,0.0,24.0,33.6,1680.0,10.752,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,12.5,1.4,70,320,0.0,25.0,35.0,1750.0,11.2,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,13.0,1.4,70,320,0.0,26.0,36.4,1820.0,11.648,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,13.5,1.4,70,320,0.0,27.0,37.8,1890.0,12.096,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,14.0,1.4,70,320,0.0,28.0,39.2,1960.0,12.544,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,14.5,1.4,70,320,0.0,29.0,40.6,2030.0,12.992,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,15.0,1.4,70,320,0.0,30.0,42.0,2100.0,13.44,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,15.5,1.4,70,320,0.0,31.0,43.4,2170.0,13.888,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,16.0,1.4,70,320,0.0,32.0,44.8,2240.0,14.336,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,16.5,1.4,70,320,0.0,33.0,46.2,2310.0,14.784,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,17.0,1.4,70,320,0.0,34.0,47.6,2380.0,15.232,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,17.5,1.4,70,320,0.0,35.0,49.0,2450.0,15.68,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,18.0,1.4,70,320,0.0,36.0,50.4,2520.0,16.128,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,18.5,1.4,70,320,0.0,37.0,51.8,2590.0,16.576,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,19.0,1.4,70,320,0.0,38.0,53.2,2660.0,17.024,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,19.5,1.4,70,320,0.0,39.0,54.6,2730.0,17.472,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,200,20.0,1.4,70,320,0.0,40.0,56.0,2800.0,17.92,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,0.5,1.4,70,320,0.0,1.5,2.1,105.0,0.672,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,1.0,1.4,70,320,0.0,3.0,4.2,210.0,1.344,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,1.5,1.4,70,320,0.0,4.5,6.3,315.0,2.016,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,2.0,1.4,70,320,0.0,6.0,8.4,420.0,2.688,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,2.5,1.4,70,320,0.0,7.5,10.5,525.0,3.36,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,3.0,1.4,70,320,0.0,9.0,12.6,630.0,4.032,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,3.5,1.4,70,320,0.0,10.5,14.7,735.0,4.704,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,4.0,1.4,70,320,0.0,12.0,16.8,840.0,5.376,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,4.5,1.4,70,320,0.0,13.5,18.9,945.0,6.048,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,5.0,1.4,70,320,0.0,15.0,21.0,1050.0,6.72,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,5.5,1.4,70,320,0.0,16.5,23.1,1155.0,7.392,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,6.0,1.4,70,320,0.0,18.0,25.2,1260.0,8.064,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,6.5,1.4,70,320,0.0,19.5,27.3,1365.0,8.736,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,7.0,1.4,70,320,0.0,21.0,29.4,1470.0,9.408,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,7.5,1.4,70,320,0.0,22.5,31.5,1575.0,10.08,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,8.0,1.4,70,320,0.0,24.0,33.6,1680.0,10.752,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,8.5,1.4,70,320,0.0,25.5,35.7,1785.0,11.424,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,9.0,1.4,70,320,0.0,27.0,37.8,1890.0,12.096,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,9.5,1.4,70,320,0.0,28.5,39.9,1995.0,12.768,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,10.0,1.4,70,320,0.0,30.0,42.0,2100.0,13.44,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,10.5,1.4,70,320,0.0,31.5,44.1,2205.0,14.112,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,11.0,1.4,70,320,0.0,33.0,46.2,2310.0,14.784,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,11.5,1.4,70,320,0.0,34.5,48.3,2415.0,15.456,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,12.0,1.4,70,320,0.0,36.0,50.4,2520.0,16.128,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,12.5,1.4,70,320,0.0,37.5,52.5,2625.0,16.8,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,13.0,1.4,70,320,0.0,39.0,54.6,2730.0,17.472,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,13.5,1.4,70,320,0.0,40.5,56.7,2835.0,18.144,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,14.0,1.4,70,320,0.0,42.0,58.8,2940.0,18.816,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,14.5,1.4,70,320,0.0,43.5,60.9,3045.0,19.488,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,15.0,1.4,70,320,0.0,45.0,63.0,3150.0,20.16,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,15.5,1.4,70,320,0.0,46.5,65.1,3255.0,20.832,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,16.0,1.4,70,320,0.0,48.0,67.2,3360.0,21.504,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,16.5,1.4,70,320,0.0,49.5,69.3,3465.0,22.176,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,17.0,1.4,70,320,0.0,51.0,71.4,3570.0,22.848,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,17.5,1.4,70,320,0.0,52.5,73.5,3675.0,23.52,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,18.0,1.4,70,320,0.0,54.0,75.6,3780.0,24.192,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,18.5,1.4,70,320,0.0,55.5,77.7,3885.0,24.864,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,19.0,1.4,70,320,0.0,57.0,79.8,3990.0,25.536,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,19.5,1.4,70,320,0.0,58.5,81.9,4095.0,26.208,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,300,20.0,1.4,70,320,0.0,60.0,84.0,4200.0,26.88,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,0.5,1.4,70,320,0.0,2.0,2.8,140.0,0.896,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,1.0,1.4,70,320,0.0,4.0,5.6,280.0,1.792,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,1.5,1.4,70,320,0.0,6.0,8.4,420.0,2.688,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,2.0,1.4,70,320,0.0,8.0,11.2,560.0,3.584,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,2.5,1.4,70,320,0.0,10.0,14.0,700.0,4.48,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,3.0,1.4,70,320,0.0,12.0,16.8,840.0,5.376,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,3.5,1.4,70,320,0.0,14.0,19.6,980.0,6.272,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,4.0,1.4,70,320,0.0,16.0,22.4,1120.0,7.168,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,4.5,1.4,70,320,0.0,18.0,25.2,1260.0,8.064,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,5.0,1.4,70,320,0.0,20.0,28.0,1400.0,8.96,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,5.5,1.4,70,320,0.0,22.0,30.8,1540.0,9.856,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,6.0,1.4,70,320,0.0,24.0,33.6,1680.0,10.752,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,6.5,1.4,70,320,0.0,26.0,36.4,1820.0,11.648,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,7.0,1.4,70,320,0.0,28.0,39.2,1960.0,12.544,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,400,7.5,1.4,70,320,0.0,30.0,42.0,2100.0,13.44,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
