step_id,action_id,step_order,step_description,required_tool,required_skill_level,duration_minutes,safety_notes
S-3.1-P-3,A-3.1-P,3,Remove capacitor bank,Torque wrench; ESD strap,Tech III,60,Heavy lifting; team
S-3.1-P-4,A-3.1-P,4,Install new cap bank per OEM kit; torque to spec,New caps; torque wrench,Tech III,60,Polarity confirm
S-3.1-P-5,A-3.1-P,5,Recommission per OEM procedure,OEM checklist,Engineer,60,
S-3.4-P-1,A-3.4-P,1,Connect impedance meter (Alber/BTECH) at battery terminals,Impedance meter,Tech II,15,Per IEEE 1188 PPE
S-3.4-P-2,A-3.4-P,2,Measure impedance for all cells,Impedance meter,Tech II,90,
S-3.4-P-3,A-3.4-P,3,Compare to baseline; flag any cell >25% above baseline,Reporting software,Engineer,30,
S-3.4-P-4,A-3.4-P,4,Issue work order for replacement string if pattern shows aging,CMMS,Engineer,15,
S-4.1-P1-1,A-4.1-P1,1,Review previous month's PMs; confirm no impairments,CMMS,Engineer,15,
S-4.1-P1-2,A-4.1-P1,2,Notify operations of test window,Email/phone,Engineer,5,
S-4.1-P1-3,A-4.1-P1,3,Position fuel selector at day-tank; verify fuel level,Visual,Tech II,5,
S-4.1-P1-4,A-4.1-P1,4,Place control to MANUAL; press START,Genset HMI,Tech II,5,
S-4.1-P1-5,A-4.1-P1,5,Run no-load 30 min minimum; observe oil pressure / temp / V / Hz,Genset HMI,Tech II,30,
S-4.1-P1-6,A-4.1-P1,6,Shut down; record run-time and any alarms,Logbook,Tech II,10,
S-4.1-P2-1,A-4.1-P2,1,Connect resistive load bank (>=30% rated load),Load bank,Engineer,60,
S-4.1-P2-2,A-4.1-P2,2,Run 25% load 30 min; 50% 30 min; 75% 30 min; 100% 2 hr,Load bank,Engineer,240,
S-4.1-P2-3,A-4.1-P2,3,Record exhaust temp; cylinder temps; coolant temp;DEF (if applicable),Genset HMI,Engineer,60,
S-4.1-P2-4,A-4.1-P2,4,Verify wet stacking is removed (no excessive smoke),Visual,Engineer,30,
S-4.1-P2-5,A-4.1-P2,5,Cool-down at 20% load 10 min before shutdown,Load bank,Engineer,15,
S-5.1-P-1,A-5.1-P,1,Schedule outage on UPS module (place to bypass),OEM manual,Engineer,30,
S-5.1-P-2,A-5.1-P,2,Disconnect battery string at breaker,Insulated tools,Tech III,15,DC-arc PPE
S-5.1-P-3,A-5.1-P,3,Connect ohmic discharge tester (BCT-200 or equivalent),Discharge tester,Engineer,30,
S-5.1-P-4,A-5.1-P,4,Discharge at 1-hr rate to 1.75 V/cell EOD,Discharge tester,Engineer,75,Monitor cabinet temp
S-5.1-P-5,A-5.1-P,5,Compute Ah delivered vs rated; flag <80% as replace,Reporting software,Engineer,30,
S-5.1-P-6,A-5.1-P,6,Recharge per OEM (constant V then float),Charger,Engineer,720,
S-7.1-P-1,A-7.1-P,1,Pull annual EPA 608 leak-rate report,Records,Engineer,15,
S-7.1-P-2,A-7.1-P,2,Walk chiller and condenser; ultrasonic leak detector at all fittings,Ultrasonic leak detector,Tech II,60,
S-7.1-P-3,A-7.1-P,3,IR camera at brazed joints,IR camera,Thermographer L1,30,
S-7.1-P-4,A-7.1-P,4,Record findings;repair if leak >0.5 oz/yr,Logbook,Tech II,30,EPA 608 reporting
S-9.2-P-1,A-9.2-P,1,Mount accelerometers at bearing housings (DE + NDE),IEPE accel; mag base,Tech II,15,
S-9.2-P-2,A-9.2-P,2,Capture vibration spectrum at operating speed,Vibration analyser,Vib Cat II,30,
S-9.2-P-3,A-9.2-P,3,Identify 1x; 2x; BPFI; BPFO peaks vs baseline,Analyser software,Vib Cat II,30,
S-9.2-P-4,A-9.2-P,4,If ISO 10816 alarm; trend more frequently; plan replacement,Trend report,Engineer,15,
S-10.5-P-1,A-10.5-P,1,Sample basin & makeup per ASHRAE 188 program,Sample bottles,Tech II,30,
S-10.5-P-2,A-10.5-P,2,Send to certified lab for Legionella PCR,Lab,Engineer,5,Results in 24-72h
S-10.5-P-3,A-10.5-P,3,Track ORP; conductivity; LSI; biocide residual,DataLogger,Engineer,Continuous,
S-10.5-P-4,A-10.5-P,4,Trigger hyperchlorination if PCR positive,Hypochlorite tank,Tech II,240,Per ASHRAE 188
S-11.1-P-1,A-11.1-P,1,Verify inline sensors are calibrated within 12 months,Calibration log,Engineer,10,
S-11.1-P-2,A-11.1-P,2,Trend pH; conductivity; TDS; ORP daily,DataLogger,Engineer,Continuous,
S-11.1-P-3,A-11.1-P,3,Replace coolant if conductivity >5 µS/cm or pH out of 7-9,Drain/refill tools,Tech II,240,
S-12.1-P-1,A-12.1-P,1,Initiate positioner diagnostic session,HART communicator,Tech II,10,
S-12.1-P-2,A-12.1-P,2,Run step test + ramp test,Positioner,Tech II,15,
S-12.1-P-3,A-12.1-P,3,Review deadband; deviation; travel deviation,DTM software,Engineer,15,
S-14.1-P-1,A-14.1-P,1,Identify sensor and tag,Drawings,Tech II,5,
S-14.1-P-2,A-14.1-P-1,2,Connect traceable reference (e.g. dry-block or pressure pump),Reference standard,Metro tech,15,
S-14.1-P-3,A-14.1-P-1,3,Sweep 4 points (0/25/50/100%);record as-found / as-left,Calibration software,Metro tech,30,
S-14.1-P-4,A-14.1-P-1,4,Adjust transmitter zero/span if drift >2x spec,Calibrator,Metro tech,15,
S-17.1-P-1,A-17.1-P,1,Open valve room; confirm normal pressure,Visual,Tech II,5,
S-17.1-P-2,A-17.1-P,2,Operate solenoid via test switch; verify valve trips,Test key,Tech II,10,Notify fire alarm panel
S-17.1-P-3,A-17.1-P,3,Reset valve and supervisory pressure,Hand pump,Tech II,30,
S-18.1-P-1,A-18.1-P,1,Walk to cylinder room; read pressure gauge,Visual,Tech II,5,
S-18.1-P-2,A-18.1-P,2,Compare to OEM low-pressure limit,Logbook,Tech II,5,
S-18.1-P-3,A-18.1-P,3,Weight check every 12 months; replace if mass <95%,Calibrated scale,Tech II,30,
S-19.1-P-1,A-19.1-P,1,Sample fuel from tank-bottom port; visual + water-paste,Sample jar; paste,Tech II,15,
S-19.1-P-2,A-19.1-P,2,Send sample to lab for ASTM D7978 microbial test,Lab,Tech II,5,
S-19.1-P-3,A-19.1-P,3,Polish fuel through 1-2 µm absolute filter,Polishing rig,Tech II,240,
S-19.1-P-4,A-19.1-P,4,Add biocide per OEM dose rate,Biocide,Tech II,15,PPE
S-20.4-P-1,A-20.4-P,1,Walk floor; lift sample tiles in seismic-bracing zones,Hand tool,Tech II,30,Two-person rule for falls
S-20.4-P-2,A-20.4-P,2,Torque pedestal-to-stringer fasteners to design value,Torque wrench,Tech II,60,Verify drawing torque value
S-20.4-P-3,A-20.4-P,3,Document and seal tile inspection log,Logbook,Tech II,15,
