mechanism_id,category,name,description,source,source_ref,confidence_tier,effective_date,last_verified_by,license_class
M-MEC-009,Mechanical,Hose/fitting leak,O-ring degradation;loose QD;hose abrasion,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-010,Mechanical,Actuator stiction,Static friction in valve stem/cylinder,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-011,Mechanical,Packing relaxation,Thermal cycling relaxes packing torque,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-012,Mechanical,Pneumatic supply loss,Compressor or regulator failure,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-013,Mechanical,Sensor wire-break,Thermal cycling at sensor junction,Rosemount FMEDA,Rosemount FMEDA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-014,Mechanical,Solenoid plunger sticking,Coil/spring fatigue;contamination,ASCO,ASCO,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-015,Mechanical,Pipe leak (air supervision),Joint/fitting leak,NFPA 25,NFPA 25,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-016,Mechanical,Cylinder valve-stem leak,Slow leak through valve stem,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-017,Mechanical,Room enclosure breach,New penetrations un-sealed; integrity lost,ISO 14520,ISO 14520,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-018,Mechanical,Fastener loosening,Vibration or post-seismic event,IBC,IBC,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MOI-001,Moisture,Moisture ingress (gasket/seal failure),Compromised seal allows water vapour entry,CIGRE TB-755,CIGRE TB-755,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MOI-002,Moisture,Sensor gland leakage,Gland seal aged;conformal coating breach,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MOI-003,Moisture,Tank breathing / vent ingress,Diurnal cycle pulls humid air into fuel tank,Guardian Fuel,Guardian Fuel,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-001,Electrical,Insulation breakdown,Dielectric strength exceeded; arc initiation,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-002,Electrical,Surface tracking,Humidity + contamination form conductive path,CIGRE,CIGRE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-003,Electrical,Open CT secondary / PT ferroresonance,Open burden generates dangerous V;PT saturates,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-004,Electrical,SCR snubber failure / gate trigger loss,Component failure in bypass circuit,Schneider WP-92,Schneider WP-92,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-005,Electrical,Firmware exception / EMI corruption,Memory bit-flip;SEU;software bug,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-006,Electrical,Excitation electronics failure,AVR capacitor aging;surge-induced semiconductor damage,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-007,Electrical,CAN-bus interference,EMI on data bus;connector vibration,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-008,Electrical,Plug-in contact arcing,Insertion/removal under load;pitting,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-009,Electrical,Triplen harmonic accumulation,3rd-harmonic from SMPS loads sums in neutral,BICSI 002,BICSI 002,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-010,Electrical,Rogowski/amp drift,Sensor amplifier drift over time,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-011,Electrical,Position-sensor drift (mag bearing),Hall/inductive sensor drift in magnetic bearing,Trane Agility,Trane Agility,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-012,Electrical,Motor insulation breakdown,VFD common-mode V + insulation aging,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-013,Electrical,Scan-cycle overrun,Program complexity exceeds CPU budget,IEC 61131,IEC 61131,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-014,Electrical,Backplane/fieldbus comm fault,Connector corrosion;terminator failure;EMI,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-015,Electrical,Memory leak / firmware bug,Untracked allocation in switch/PLC firmware,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-016,Electrical,EMI-induced loop noise,Shield-ground loop;VFD coupling onto 4-20 mA,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-017,Electrical,Bus voltage transient,Regenerative load or grid sag,Yaskawa,Yaskawa,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-018,Electrical,Encoder cable damage,Shield-ground loop;cable abrasion,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-019,Electrical,Output earth fault,Motor cable degradation;winding-to-frame,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ELC-020,Electrical,Modbus address conflict / RS-485 term,Two slaves same address;missing 120 Ohm term,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CHM-001,Chemical,Battery cell internal failure (Pb-acid),Sudden short or post seal failure,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CHM-002,Chemical,Water loss / vulcanization,Float overvoltage causes electrolysis;sulphation,Powershield,Powershield,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CHM-003,Chemical,Li-ion internal short / dendrite,Mechanical abuse + dendrite growth penetrating separator,IEC 62619,IEC 62619,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CHM-004,Chemical,Li-ion self-discharge variance,Cell-to-cell SoC drift; weak balancing,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CHM-005,Chemical,Coolant pH/conductivity drift,Halocarbon hydrolysis;inhibitor depletion,ASME 020902,ASME 020902,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CHM-006,Chemical,Dielectric fluid oxidation,Thermal oxidation;water absorption,3M,3M,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CHM-007,Chemical,Diesel oxidation / asphaltene,ULSD without stabiliser >12 months,ASTM D975,ASTM D975,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-COR-001,Corrosion,Positive-grid corrosion (Pb),Pb to PbO2 oxidation at grid wires,Powershield,Powershield,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-COR-002,Corrosion,Refrigerant tube corrosion,Brazed-joint corrosion;tube vibration fatigue,EPA 608,EPA 608,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
M-COR-003,Corrosion,Pedestal corrosion / dissimilar-metal,Humidity + dissimilar metals,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-001,Wear,Fan-motor bearing wear,Lubricant breakdown;dust ingress,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-002,Wear,Flywheel bearing wear,Hertzian fatigue;lubricant breakdown,Active Power WP-111,Active Power WP-111,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-003,Wear,Turbo bearing oil starvation,Oil starvation at startup;cold-shutdown coke,CAT QSX15,CAT QSX15,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-004,Wear,Alternator bearing wear,Shaft current pitting (VFD-fed);lubrication loss,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-005,Wear,Water-pump seal/bearing wear,Cyclic operation seal degradation,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-006,Wear,Mechanical seal wear,Dry running;abrasive particles;thermal shock,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-007,Wear,Pump bearing wear,Lubricant contamination;electrical fluting;misalignment,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-008,Wear,Drift eliminator UV/erosion,UV embrittlement;water erosion;scale weighting,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-009,Wear,Gearbox internal wear,Bearing fatigue;gear tooth wear;lubricant breakdown,CTI STD-111,CTI STD-111,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-010,Wear,EEPROM/Flash wear-out,>1e5 erase cycles,semiconductor data,semiconductor data,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-011,Wear,Cable connector oxidation,Repeated mate cycles;humidity oxidation,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-012,Wear,Laser diode aging (SFP),Diode wear-out;dirty connector,Cisco SFP,Cisco SFP,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-013,Wear,Floor panel deflection wear,Heavy rolling loads;moisture in wood core,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-014,Wear,ESD coating wear,Surface coating wear from foot traffic,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-WER-015,Wear,Brush-strip damage,Repeated cable lifts damage edging,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CON-001,Contamination,Fuel injector contamination,Water/microbial sludge plugs orifice,CAT QSX15,CAT QSX15,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CON-002,Contamination,Compressor oil contamination,Acid/moisture in lubricant,Maximus Chillers,Maximus Chillers,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CON-003,Contamination,Refrigerant impurity in EXV,Sludge scoring orifice,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-001,Fouling,Condenser tube scaling/biofouling,CaCO3 scale + Pseudomonas biofilm,ASHRAE,ASHRAE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-002,Fouling,Air filter particulate loading,Loading reduces airflow / raises delta-P,ASHRAE 52.2,ASHRAE 52.2,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-003,Fouling,Humidifier mineral deposition,Hard-water mineral on electrodes/nozzle,Carel,Carel,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-004,Fouling,Cooling-tower fill scaling,CaCO3 + biofilm + solids,CTI,CTI,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-005,Fouling,CDU filter loading,New-pipework particulates;gasket debris,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-006,Fouling,DP transmitter impulse line plug,Sediment in impulse line,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-007,Fouling,Aspirating pipe blockage,Sampling-hole occlusion;filter loading,Xtralis,Xtralis,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-008,Fouling,Nozzle obstruction (gaseous agent),Construction debris;paint;tape,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-FOU-009,Fouling,Level-sensor coating,Biofilm or sludge coats probe,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-CAV-001,Cavitation,Hydraulic cavitation,Pressure < saturation at impeller eye,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ERO-001,Erosion,Impeller hydraulic erosion,Solids in fluid + cavitation pitting,OREDA,OREDA,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-ERO-002,Erosion,Valve seat erosion,High-velocity flow over partially closed valve,ISA-75,ISA-75,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-BIO-001,Biological,Cooling-water biological growth,Legionella; sulphate-reducing bacteria,ASHRAE 188,ASHRAE 188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-BIO-002,Biological,Diesel microbial growth,Hormoconis resinae + Pseudomonas at water/fuel interface,Bell Performance,Bell Performance,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
M-DRI-001,Drift,Sensor calibration drift,Element aging;mechanical stress;contamination,IEC 60751,IEC 60751,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-DRI-002,Drift,Positioner calibration drift,Electronic drift;supply-air fluctuation,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-DRI-003,Drift,Detector sensitivity drift,Dust accumulation;contaminated optics,NFPA 72,NFPA 72,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-HUM-001,Human error,Valve left closed after maintenance,Pre-action sprinkler valve not reopened,NFSA,NFSA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-HUM-002,Human error,Cylinder not refilled post-discharge,Budget/logistics gap leaves space unprotected,Code Ready Safety,Code Ready Safety,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-HUM-003,Human error,Bypass left engaged,Maintenance bypass switch not reset,NFPA 72,NFPA 72,high,2026-05-25,doc-propagation-2026-05-25,internal-research
