sod_id,fault_id,severity,occurrence,detection,rpn,notes,source
SOD-8.6,F8.6,5,5,5,125,Calibration drift slow,IEC 60751
SOD-9.1,F9.1,6,6,3,108,Common pump failure mode,HI 9.6
SOD-9.2,F9.2,7,5,3,105,Vibration shrinks D,HI 9.6
SOD-9.3,F9.3,7,4,4,112,HF vibration band detects,HI 9.6
SOD-9.4,F9.4,6,3,3,54,1x vibration prominent,OREDA
SOD-9.5,F9.5,8,3,3,72,Insulation R test detects,NPRD-2016
SOD-9.6,F9.6,6,4,4,96,2x vibration detects,HI 9.6
SOD-10.1,F10.1,6,7,3,126,Trends visible,CTI
SOD-10.2,F10.2,5,4,4,80,Drift loss measurement,manufacturer
SOD-10.3,F10.3,8,5,3,120,Oil sampling + vibration,CTI STD-111
SOD-10.4,F10.4,7,3,4,84,Fan-deck vibration detects,manufacturer
SOD-10.5,F10.5,8,5,4,160,PCR detects Legionella,ASHRAE 188
SOD-10.6,F10.6,6,3,3,54,Basin level transmitter,manufacturer
SOD-11.1,F11.1,7,5,4,140,Long-term issue,ASME 020902
SOD-11.2,F11.2,10,3,2,60,Critical;ride-through <10s,Uptime Institute
SOD-11.3,F11.3,9,4,3,108,Leak rope detects,OCP
SOD-11.4,F11.4,6,4,5,120,Quarterly fluid sample,3M
SOD-11.5,F11.5,5,6,2,60,DP across filter clear signal,OCP
SOD-12.1,F12.1,5,6,3,90,Diagnostic positioner detects,Emerson
SOD-12.2,F12.2,6,4,4,96,Acoustic emission technology,ISA-75
SOD-12.3,F12.3,5,5,2,50,Visible leak,manufacturer
SOD-12.4,F12.4,4,4,3,48,Self-diagnostic,Emerson
SOD-12.5,F12.5,7,3,2,42,Supply-air P switch,manufacturer
SOD-13.1,F13.1,8,2,3,48,Watchdog monitors,IEC 61131
SOD-13.2,F13.2,7,3,2,42,Comm status bit,manufacturer
SOD-13.3,F13.3,8,2,4,64,Heartbeat detects,EPRD-2014
SOD-13.4,F13.4,6,2,4,48,Block error counter,semiconductor data
SOD-13.5,F13.5,8,3,2,48,Output V monitor,EPRD-2014
SOD-14.1,F14.1,5,6,4,120,Drift slow;periodic calibration needed,IEC 60751
SOD-14.2,F14.2,6,3,2,36,Burnout detection,Rosemount FMEDA
SOD-14.3,F14.3,6,4,4,96,Insulation R detects,manufacturer
SOD-14.4,F14.4,6,4,5,120,SPC low-variance alarm,manufacturer
SOD-14.5,F14.5,4,4,3,48,Spectral analysis,manufacturer
SOD-15.1,F15.1,8,5,4,160,Ripple V trend,EPower
SOD-15.2,F15.2,8,5,3,120,Heat-sink NTC,Eilitetech
SOD-15.3,F15.3,7,4,3,84,DC-bus V trend,Yaskawa
SOD-15.4,F15.4,7,3,3,63,Encoder signal,manufacturer
SOD-15.5,F15.5,9,3,3,81,Earth-current sensor,manufacturer
SOD-16.1,F16.1,5,5,3,75,Link-state log,Cisco SFP
SOD-16.2,F16.2,6,4,2,48,Retry counter,manufacturer
SOD-16.3,F16.3,6,3,3,54,SFP DDM,Cisco SFP
SOD-16.4,F16.4,7,3,3,63,SNMP monitoring,manufacturer
SOD-16.5,F16.5,8,3,2,48,Redundancy signal,EPRD-2014
SOD-17.1,F17.1,10,2,3,60,Coil-supervision continuous,NFSA
SOD-17.2,F17.2,8,4,2,64,Supervisory P switch,NFPA 25
SOD-17.3,F17.3,8,4,3,96,Detector self-monitor,Xtralis
SOD-17.4,F17.4,10,3,2,60,Tamper switch,NFSA
SOD-17.5,F17.5,7,4,3,84,Self-test log,NFPA 72
SOD-18.1,F18.1,10,3,3,90,Pressure switch supervision,NFPA 2001
SOD-18.2,F18.2,9,2,4,72,Visual + flow test,NFPA 2001
SOD-18.3,F18.3,10,2,2,40,Cylinder weight obvious,Code Ready Safety
SOD-18.4,F18.4,10,2,3,60,Bypass supervision,NFPA 72
SOD-18.5,F18.5,8,4,4,128,Annual door-fan test,ISO 14520
SOD-19.1,F19.1,8,5,5,200,Microbial growth slow but devastating,Bell Performance
SOD-19.2,F19.2,7,6,4,168,Water-paste check monthly,Guardian Fuel
SOD-19.3,F19.3,7,5,4,140,Annual stabilizer+rotation,ASTM D975
SOD-19.4,F19.4,8,3,3,72,Redundant sensors,manufacturer
SOD-19.5,F19.5,7,4,3,84,See F9.1 / F9.5,NPRD-2016
SOD-20.1,F20.1,6,4,3,72,Annual visual + pull test,CISCA
SOD-20.2,F20.2,5,5,2,50,Visual + deflection test,CISCA
SOD-20.3,F20.3,4,5,3,60,STM7.1 meter periodic,ANSI/ESD
SOD-20.4,F20.4,8,2,3,48,Post-event check,IBC
SOD-20.5,F20.5,4,6,2,48,Underfloor pressure + IR,CISCA
