failure_id,fault_id,failure_state,description,detected_via,source,source_ref,confidence_tier,effective_date,last_verified_by,license_class
FL-3.7,F3.7,Flywheel containment alarm / shutdown,Bearing replacement window or shutdown,Vibration spectrum,Active Power WP-111,Active Power WP-111,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-4.1,F4.1,Generator does not start (FTS),Mission failure during utility loss,Crank-time exceeded,NFPA 110,NFPA 110,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-4.2,F4.2,Coolant-in-oil contamination,Engine seizure risk,Oil sampling,Cummins manual,Cummins manual,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-4.3,F4.3,Turbo seizure / power loss,Power derate;possible oil ingestion,Turbo speed sensor,CAT QSX15,CAT QSX15,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-4.4,F4.4,Cylinder misfire / power loss,Genset cannot meet load,EGT deviation,CAT QSX15,CAT QSX15,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-4.5,F4.5,Voltage regulation collapse,Voltage instability under load,Output V,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-4.6,F4.6,Alternator bearing seizure,Generator must be taken offline,Vibration alert,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-4.7,F4.7,Engine overheat shutdown,Auto-shutdown by ECM,Coolant temp,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-5.1,F5.1,Reduced runtime / failed discharge test,Battery cannot support load for required time,Capacity test,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-5.2,F5.2,Thermal runaway / hydrogen vent,Catastrophic battery failure;fire risk,Cabinet temp + H2,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-5.3,F5.3,Cell jar bulging / leak,Acid leak;capacity loss,Visual,Powershield,Powershield,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-5.4,F5.4,Cell venting / fire,Li-ion thermal runaway;fire,Off-gas detection,IEC 62619;UL 9540A,IEC 62619;UL 9540A,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-5.5,F5.5,BMS protection disabled,Loss of cell-level visibility,Heartbeat watchdog,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-5.6,F5.6,Premature pack shutdown,Pack disconnected by weakest cell,Per-cell V,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-6.1,F6.1,Nuisance branch trip / breaker open,Loss of feed to rack,Branch ammeter,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-6.2,F6.2,Busway tap-off arc,Local fire;upstream trip,Busway temp,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-6.3,F6.3,Neutral overload alarm / fire,Hot neutral bar;possible insulation degradation,Neutral RMS,BICSI 002,BICSI 002,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-6.4,F6.4,PDU transformer trip,See FL-1.1,See FL-1.1,CIGRE TB-642,CIGRE TB-642,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-6.5,F6.5,Inaccurate metering,Billing/capacity decisions wrong,Calibration check,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-7.1,F7.1,Chiller low refrigerant trip,Capacity loss;auto trip,Suction P,EPA 608;ASHRAE Handbook,EPA 608;ASHRAE Handbook,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-7.2,F7.2,Compressor seizure,Chiller offline;long lead-time repair,Vibration;oil P,Maximus Chillers,Maximus Chillers,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-7.3,F7.3,Magnetic bearing fault trip,Compressor coast-down;cooling loss,Bearing-controller error,Trane Agility,Trane Agility,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-7.4,F7.4,Reduced chiller capacity / kW per ton rise,Energy waste;approach drift,Approach,ASHRAE,ASHRAE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-7.5,F7.5,Superheat hunting / safety trip,Compressor protection trip,Superheat trend,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-7.6,F7.6,Chiller comm loss / sensor fault,Manual override,SCADA comm,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-8.1,F8.1,CRAH fan trip / N+1 reduced,Reduced redundancy;cooling derate,Vibration,TechTarget,TechTarget,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-8.2,F8.2,Reduced airflow / hot-spot,Server-inlet temp rise above ASHRAE A1,DP across filter,ASHRAE 52.2,ASHRAE 52.2,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-8.3,F8.3,Humidifier shutdown,RH excursion,Humidifier alarm,Carel,Carel,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-8.4,F8.4,Loss of supply-air temp control,SA temp setpoint not met,SA temp,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-8.5,F8.5,CRAC compressor trip,Single CRAC unit offline,Compressor current,Copeland,Copeland,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-8.6,F8.6,Control instability / wrong setpoint,Wasted energy or temp excursion,SPC alarm,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-9.1,F9.1,Water leak / pump out of service,Pump must be isolated;chilled-water loss,Visible water,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-9.2,F9.2,Bearing seizure,Pump trip;motor damage risk,Vibration shutdown,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-9.3,F9.3,Impeller pitting / performance degradation,Reduced head/flow,HF vibration,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-9.4,F9.4,Vibration shutdown / wear-ring damage,Pump trip,1x vibration,OREDA,OREDA,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-9.5,F9.5,Motor ground fault,VFD or feeder trips,Earth-current sensor,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-9.6,F9.6,Coupling failure / drive loss,Pump cannot turn,2x vibration spike,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-10.1,F10.1,Reduced cooling-tower capacity,Approach rises;chiller efficiency falls,Approach trend,CTI,CTI,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-10.2,F10.2,Excessive plume / water-loss / drift to neighbours,Compliance / nuisance,Drift loss measurement,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-10.3,F10.3,Gearbox lockup / fan stop,Cell offline;capacity reduced,Vibration shutdown,CTI STD-111,CTI STD-111,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-10.4,F10.4,Fan vibration shutdown,Cell offline,Fan-deck vibration,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-10.5,F10.5,Legionella outbreak risk,Public-health and regulatory event,Legionella PCR,ASHRAE 188,ASHRAE 188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-10.6,F10.6,Basin overflow or dry-out,Tower out of service,Basin-level alarm,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-11.1,F11.1,Corrosion / MIC in coolant loop,Long-term capacity drop;leaks,Conductivity/pH,ASME J.Electron.Packag.140 020902,ASME J.Electron.Packag.140 020902,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-11.2,F11.2,Cold-plate flow loss / CPU thermal trip,Server thermal protection;reboot,Flow meter,Vertiv,Vertiv,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-11.3,F11.3,Coolant spill / underfloor leak,Possible electrical short,Leak rope,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-11.4,F11.4,Reduced dielectric strength / short risk,Increased electrical risk in immersion bath,Fluid sample,3M,3M,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-11.5,F11.5,Reduced cold-plate flow,Server thermal margin reduced,Filter delta-P,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-12.1,F12.1,Loop instability / cycling,Process control loss,Positioner diagnostic,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-12.2,F12.2,Internal leakage / wasted bypass,Energy waste;process upset,Acoustic emission,ISA-75,ISA-75,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-12.3,F12.3,External leakage,Fugitive emissions,IR;visual,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-12.4,F12.4,Setpoint not met,Control offset,Position vs command,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-12.5,F12.5,Valve fails to safe / open,Process trip,Supply-air P,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-13.1,F13.1,PLC scan timeout,Outputs to safe state;control loss,Watchdog flag,IEC 61131,IEC 61131,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-13.2,F13.2,I/O communication lost,Outputs held last value;possible mis-operation,Comm-status,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-13.3,F13.3,Unexpected PLC reset,All outputs reset;process trip,Heartbeat,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-13.4,F13.4,Memory access error,Possible mis-execution,Block error counter,semiconductor data,semiconductor data,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-13.5,F13.5,Loss of 24 VDC bus,Multiple devices lose power,Output V,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-14.1,F14.1,Wrong measurement / loop offset,Wrong setpoint compliance,Calibration,IEC 60751,IEC 60751,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-14.2,F14.2,Loop fault flag,Loop in failsafe,Open-loop detect,Rosemount FMEDA,Rosemount FMEDA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-14.3,F14.3,Erratic reading,Loop noise;false alarms,Insulation R,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-14.4,F14.4,Sensor reading flatline,Process variable hidden,SPC low-variance,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-14.5,F14.5,Noise spikes,Spurious trips,Spectral analysis,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-15.1,F15.1,VFD overtemp / nuisance trip,Drive trips;motor stops,Ripple V,EPower,EPower,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-15.2,F15.2,VFD OH fault / shutdown,Drive trips;motor stops,Heat-sink NTC,Eilitetech,Eilitetech,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-15.3,F15.3,DC OV/UV trip,Drive trips;potential cap damage,DC-bus V,Yaskawa,Yaskawa,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-15.4,F15.4,Drive runs open-loop / wrong speed,Process variable off,Encoder check,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-15.5,F15.5,Drive earth fault / shutdown,Drive locks out,Earth-current,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-16.1,F16.1,Lost device / intermittent network,BMS data gaps,Link state log,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-16.2,F16.2,Modbus dropout,Polling gap,Comm-fail counter,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-16.3,F16.3,Link errors / BER rise,Network degraded,SFP DDM,Cisco SFP,Cisco SFP,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-16.4,F16.4,Switch reboot / packet loss,Broad outage in BMS subnet,SNMP traps,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-16.5,F16.5,Redundancy lost,Single-PSU operation,Redundancy flag,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-17.1,F17.1,Sprinkler system fails to release,No water on fire,Coil-supervision,NFSA,NFSA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-17.2,F17.2,Supervisory low / impairment,Impairment requires fire watch,Supervisory P,NFPA 25,NFPA 25,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-17.3,F17.3,Late or no fire detection,Detection delay,Detector self-monitor,Xtralis,Xtralis,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-17.4,F17.4,Sprinkler system impaired,System non-functional,Tamper switch,NFSA,NFSA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-17.5,F17.5,Mis-detection / false alarm,Unnecessary discharge / no detect,Self-test log,NFPA 72,NFPA 72,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-18.1,F18.1,Insufficient agent on discharge,Reduced concentration;possible failure to suppress,Low-P switch,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-18.2,F18.2,Uneven distribution / failure to suppress,Localised failure,Visual,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-18.3,F18.3,Space unprotected after discharge,Subsequent fire risk,Cylinder weight,Code Ready Safety,Code Ready Safety,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-18.4,F18.4,Failure to discharge on event,Detection-release link broken,Panel diagnostic,NFPA 72,NFPA 72,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-18.5,F18.5,Concentration drops below MEC,Suppression fails,Door-fan test,ISO 14520,ISO 14520,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-19.1,F19.1,Filter / injector clogging,Engine derate or fails to start,ASTM D7978,Bell Performance,Bell Performance,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-19.2,F19.2,Water-in-fuel high level alarm,Engine fails to start / damage,Water-paste gauge,Guardian Fuel,Guardian Fuel,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-19.3,F19.3,Engine power loss / shutdown,Cannot meet load,Combustion telemetry,ASTM D975,ASTM D975,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-19.4,F19.4,Inventory error / unexpected empty tank,Run-time miscalculation,Stick gauge,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-19.5,F19.5,Day tank not filled,Engine starves,Day-tank level,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-20.1,F20.1,Floor instability / panel collapse,Equipment damage / personnel safety,Pull test,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-20.2,F20.2,Trip/fall hazard / hot-spot,Operational safety,Visual inspection,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-20.3,F20.3,ESD damage to electronics,Equipment failure,STM7.1 meter,ANSI/ESD,ANSI/ESD,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-20.4,F20.4,Floor displacement in seismic event,Catastrophic equipment damage,Post-event torque check,IBC seismic,IBC seismic,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-20.5,F20.5,Cooling capacity loss,Hot-spots above damaged tile,Underfloor pressure,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
