component_id,asset_family,component_name,sub_assembly_of,typical_mtbf_hours,typical_life_years,source,source_ref,confidence_tier,effective_date,last_verified_by,license_class
C-SWG-008,Switchgear,Potential transformer (PT),Switchgear,500000,25,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-001,UPS,IGBT rectifier module,UPS,40000,10,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-002,UPS,IGBT inverter module,UPS,40000,10,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-003,UPS,DC-bus electrolytic capacitor,UPS,80000,7,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-004,UPS,Static bypass SCR/IGBT,UPS,150000,15,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-005,UPS,Control board (DSP/FPGA),UPS,250000,15,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-006,UPS,Cooling fan,UPS,55000,8,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-007,UPS,Battery string (VRLA),UPS,,4,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-008,UPS,Battery string (Li-ion LFP),UPS,,9,Vertiv 2017,Vertiv 2017,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-009,UPS,Flywheel rotor,UPS,,20,Active Power WP-111,Active Power WP-111,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-010,UPS,Flywheel bearing (mechanical),UPS,,4,powertechniques,powertechniques,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-UPS-011,UPS,Magnetic bearing power amp,UPS,,20,Piller,Piller,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-001,Generators,Diesel engine block,Generator,40000,25,Cummins manual,Cummins manual,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-002,Generators,Cylinder head/gasket,Generator,40000,15,Cummins manual,Cummins manual,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-003,Generators,Fuel injectors,Generator,8000,5,CAT QSX15,CAT QSX15,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-004,Generators,Turbocharger,Generator,10000,8,OEM literature,OEM literature,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-005,Generators,AC alternator (synchronous),Generator,65000,25,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-006,Generators,AVR electronic,Generator,100000,12,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-007,Generators,Starter motor,Generator,,8,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-008,Generators,Cranking battery (Pb-acid),Generator,,4,IEEE 1187,IEEE 1187,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-009,Generators,Jacket-water heater,Generator,30000,5,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-GEN-010,Generators,ECM/controller,Generator,150000,15,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-BAT-001,Battery,VRLA AGM cell,Battery system,,4,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-BAT-002,Battery,Li-ion LFP cell,Battery system,,9,IEC 62619,IEC 62619,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-BAT-003,Battery,Li-ion NMC cell,Battery system,,7,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-BAT-004,Battery,BMS controller,Battery system,150000,10,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-BAT-005,Battery,Intercell connector,Battery system,,3,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-BAT-006,Battery,Battery cabinet HVAC,Battery system,50000,10,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-BAT-007,Battery,Off-gas H2/CO sensor,Battery system,87600,5,UL 9540A,UL 9540A,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PDU-001,PDU,PDU isolation transformer,PDU,200000,25,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PDU-002,PDU,MCCB branch breaker,PDU,2000000,25,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PDU-003,PDU,Monitoring board (DPM),PDU,80000,10,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PDU-004,PDU,Busway joint,Busway,8000000,25,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PDU-005,PDU,Busway tap-off plug,Busway,4000000,15,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PDU-006,PDU,RPP feeder breaker,RPP,2000000,25,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PDU-007,PDU,Rogowski coil branch metering,PDU,100000,10,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CHL-001,Chillers,Centrifugal compressor (oil-lub),Chiller,75000,22,ASHRAE Handbook,ASHRAE Handbook,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CHL-002,Chillers,Magnetic-bearing compressor,Chiller,100000,25,Trane Agility,Trane Agility,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CHL-003,Chillers,Evaporator tube bundle,Chiller,,28,ASHRAE,ASHRAE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CHL-004,Chillers,Condenser tube bundle,Chiller,,28,ASHRAE,ASHRAE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CHL-005,Chillers,Electronic expansion valve,Chiller,50000,12,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CHL-006,Chillers,Chiller control panel (PLC),Chiller,100000,15,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CHL-007,Chillers,Oil separator,Chiller,,20,ASHRAE,ASHRAE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CHL-008,Chillers,Refrigerant charge,Chiller,,10,EPA 608,EPA 608,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CRC-001,CRAH/CRAC,EC plug fan motor,CRAH,55000,12,ebm-papst,ebm-papst,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CRC-002,CRAH/CRAC,Belt-drive blower (legacy),CRAH,,5,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CRC-003,CRAH/CRAC,Reheat element,CRAH,50000,12,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CRC-004,CRAH/CRAC,Steam-canister humidifier,CRAH,,2,Carel/Vapac,Carel/Vapac,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CRC-005,CRAH/CRAC,Infrared humidifier lamp,CRAH,10000,3,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CRC-006,CRAH/CRAC,Filter (MERV 13),CRAH,,1,ASHRAE 52.2,ASHRAE 52.2,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CRC-007,CRAH/CRAC,DX scroll compressor,CRAC,65000,15,Copeland,Copeland,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PMP-001,Pumps,Mechanical seal,Pump,30000,4,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PMP-002,Pumps,Rolling-element bearing,Pump,55000,6,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PMP-003,Pumps,Impeller,Pump,,18,OREDA,OREDA,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PMP-004,Pumps,TEFC motor,Pump,75000,15,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PMP-005,Pumps,Flexible coupling,Pump,,8,OREDA,OREDA,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PMP-006,Pumps,Casing/volute,Pump,,25,OREDA,OREDA,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PMP-007,Pumps,Suction strainer,Pump,,5,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-001,CoolingTower,Fan FRP blade,CoolingTower,,18,CTI,CTI,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-002,CoolingTower,Fan motor (TEFC),CoolingTower,65000,12,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-003,CoolingTower,Right-angle gear reducer,CoolingTower,,8,CTI STD-111,CTI STD-111,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-004,CoolingTower,Drive shaft + coupling,CoolingTower,,6,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-005,CoolingTower,Fill (PVC film),CoolingTower,,12,CTI,CTI,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-006,CoolingTower,Drift eliminator,CoolingTower,,8,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-007,CoolingTower,Distribution nozzles,CoolingTower,,7,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-008,CoolingTower,Cold-water basin (galv),CoolingTower,,20,CTI,CTI,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CTW-009,CoolingTower,Makeup-water float valve,CoolingTower,,8,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-LQC-001,LiquidCooling,CDU canned-rotor pump,CDU,50000,7,Vertiv/CoolIT,Vertiv/CoolIT,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-LQC-002,LiquidCooling,Quick-disconnect coupling,Manifold,,5000cycles,Stäubli,Stäubli,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-LQC-003,LiquidCooling,In-rack manifold,Manifold,,25,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
C-LQC-004,LiquidCooling,Cold plate (microchannel),Cold plate,,12,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
C-LQC-005,LiquidCooling,Dielectric fluid (single-phase),Immersion tank,,7,3M,3M,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-LQC-006,LiquidCooling,Conductivity/pH sensor,CDU,,2,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-LQC-007,LiquidCooling,Filter (5-50 micron),CDU,,0.4,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VLV-001,Valves,Control valve trim,Valve assembly,,7,ISA-75,ISA-75,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VLV-002,Valves,Pneumatic actuator,Valve assembly,100000cycles,12,Emerson Fisher,Emerson Fisher,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VLV-003,Valves,Electric actuator (modulating),Valve assembly,1000000cycles,15,Rotork/Belimo,Rotork/Belimo,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VLV-004,Valves,Smart digital positioner,Valve assembly,150000,12,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VLV-005,Valves,Pilot solenoid,Valve assembly,1000000cycles,10,ASCO,ASCO,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VLV-006,Valves,Stem packing,Valve assembly,,2.5,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VLV-007,Valves,Butterfly disc + seat,Valve assembly,,12,Bray/Belimo,Bray/Belimo,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PLC-001,PLCs,PLC CPU,PLC system,300000,15,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PLC-002,PLCs,DDC controller,BMS,200000,15,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PLC-003,PLCs,I/O module,PLC system,200000,15,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PLC-004,PLCs,24 VDC power supply,PLC system,100000,10,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PLC-005,PLCs,Comm module (Ethernet/485),PLC system,200000,15,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-PLC-006,PLCs,EEPROM/Flash memory,PLC system,,15,semiconductor data,semiconductor data,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SNS-001,Sensors,RTD Class A Pt100,Sensor,,15,IEC 60751,IEC 60751,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SNS-002,Sensors,Thermocouple Type K,Sensor,,5,ASTM E230,ASTM E230,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SNS-003,Sensors,Pressure transmitter,Sensor,,10,Rosemount FMEDA,Rosemount FMEDA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SNS-004,Sensors,Differential pressure xmtr,Sensor,,10,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SNS-005,Sensors,Humidity (capacitive),Sensor,,8,Vaisala,Vaisala,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SNS-006,Sensors,Flow (mag/vortex/ultrasonic),Sensor,,15,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SNS-007,Sensors,Vibration accelerometer (IEPE),Sensor,,15,ISO 16063,ISO 16063,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VFD-001,VFD,DC-bus electrolytic capacitor,VFD,80000,7,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VFD-002,VFD,IGBT module,VFD,90000,12,Semikron,Semikron,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VFD-003,VFD,Cooling fan,VFD,50000,8,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VFD-004,VFD,Pre-charge resistor/relay,VFD,,10,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VFD-005,VFD,Control board,VFD,200000,15,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-VFD-006,VFD,EMC filter,VFD,,20,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-NET-001,Network,Managed industrial switch,Network,350000,15,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-NET-002,Network,Modbus/BACnet gateway,Network,150000,12,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-NET-003,Network,SFP fiber transceiver,Network,150000,10,Cisco SFP,Cisco SFP,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-NET-004,Network,PoE PSE chipset,Network,200000,12,Microsemi,Microsemi,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-NET-005,Network,Redundant DC PSU,Network,100000,10,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FPA-001,PreAction,Pre-action valve,Fire system,,25,NFPA 25,NFPA 25,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FPA-002,PreAction,Releasing solenoid,Fire system,,10,ASCO,ASCO,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FPA-003,PreAction,VESDA aspirating detector,Fire system,,15,Xtralis,Xtralis,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FPA-004,PreAction,Spot smoke detector,Fire system,,10,NFPA 72,NFPA 72,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FPA-005,PreAction,Air maintenance compressor,Fire system,,12,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FPA-006,PreAction,Releasing panel,Fire system,,18,NFPA 72,NFPA 72,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CLN-001,CleanAgent,Storage cylinder (steel),Clean-agent,,12,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CLN-002,CleanAgent,Pressure gauge/switch,Clean-agent,,8,Kidde,Kidde,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CLN-003,CleanAgent,Discharge nozzle,Clean-agent,,25,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CLN-004,CleanAgent,Releasing solenoid,Clean-agent,,10,ASCO,ASCO,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-CLN-005,CleanAgent,Distribution piping,Clean-agent,,25,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FUL-001,FuelStorage,Bulk storage tank (steel),Fuel system,,30,UL 142,UL 142,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FUL-002,FuelStorage,Day tank,Fuel system,,22,UL 142,UL 142,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FUL-003,FuelStorage,Transfer pump,Fuel system,50000,12,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FUL-004,FuelStorage,Level sensor,Fuel system,,12,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FUL-005,FuelStorage,Fuel polishing module,Fuel system,,12,Algae-X/Racor,Algae-X/Racor,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-FUL-006,FuelStorage,Fuel filter,Fuel system,,1,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-RAF-001,RaisedFloor,Steel-cementitious panel,Raised floor,,22,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-RAF-002,RaisedFloor,Galvanised pedestal,Raised floor,,22,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-RAF-003,RaisedFloor,Stringer,Raised floor,,22,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-RAF-004,RaisedFloor,Pedestal adhesive,Raised floor,,17,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-RAF-005,RaisedFloor,ESD finish layer,Raised floor,,8,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-RAF-006,RaisedFloor,Edge trim,Raised floor,,7,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
