action_id,fault_id,action_type,action_name,description,interval,source,source_ref,confidence_tier,effective_date,last_verified_by,license_class
A-9.1-C,F9.1,Corrective,Replace mechanical seal,Pull pump;replace cartridge seal,On-detection,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-9.1-P,F9.1,Preventive,Seal flush/leak monitoring,Capacitive leak detector + flush temp,Continuous,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-9.2-C,F9.2,Corrective,Replace pump bearings,Replace + align,On-detection,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-9.2-P,F9.2,Preventive,Vibration monitoring,ISO 10816 + shock-pulse,Monthly,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-9.3-C,F9.3,Corrective,Eliminate cavitation cause,Restore NPSH;adjust flow;clean strainer,On-detection,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-9.3-P,F9.3,Preventive,Operate in 70-120% BEP,Throttle control + suction P,Continuous,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-9.4-C,F9.4,Corrective,Replace impeller / balance,Replace or balance per HI 9.6.4,On-detection,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-9.5-C,F9.5,Corrective,Replace motor,Replace winding-failed motor,On-detection,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-9.6-C,F9.6,Corrective,Re-align coupling,Laser alignment to spec,On-detection,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.1-C,F10.1,Corrective,Fill cleaning / replacement,Acid-clean or replace fill,On-detection,CTI,CTI,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.1-P,F10.1,Preventive,Chemistry control (LSI 0 to +1),Cycles of concentration + biocide,Continuous,ASHRAE 188,ASHRAE 188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.2-C,F10.2,Corrective,Replace drift eliminator,Replace panels,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.3-C,F10.3,Corrective,Gearbox overhaul,Replace bearings/gears;flush oil,On-detection,CTI STD-111,CTI STD-111,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.3-P,F10.3,Preventive,Gearbox oil analysis,Quarterly ferrography,3 months,CTI STD-111,CTI STD-111,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.4-C,F10.4,Corrective,Fan balance / blade replace,Balance per OEM;replace damaged blade,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.5-C,F10.5,Corrective,Hyperchlorination + clean,Per ASHRAE 188 Legionella protocol,On-detection,ASHRAE 188,ASHRAE 188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.5-P,F10.5,Preventive,Legionella program,Sampling per ASHRAE 188,Per program,ASHRAE 188,ASHRAE 188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-10.6-C,F10.6,Corrective,Replace float / makeup valve,Replace valve;flush line,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-11.1-C,F11.1,Corrective,Coolant change + flush,Replace coolant;rinse system,On-detection,ASME 020902,ASME 020902,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-11.1-P,F11.1,Preventive,Inline chemistry monitoring,Conductivity/pH/TDS/ORP,Continuous,ASHRAE TC 9.9,ASHRAE TC 9.9,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-11.2-C,F11.2,Corrective,Replace CDU pump,Swap pump;recommission,On-detection,Vertiv,Vertiv,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-11.2-P,F11.2,Preventive,N+1 pump + vibration test,Standby pump;monthly test,1 month,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-11.3-C,F11.3,Corrective,Replace QD or hose,Tighten/replace;pressure-decay test,On-detection,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
A-11.3-P,F11.3,Preventive,Pressure-decay test,Quarterly system pressure-decay,3 months,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
A-11.4-C,F11.4,Corrective,Fluid replacement,Drain + refill with fresh dielectric,On-detection,3M,3M,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-11.5-C,F11.5,Corrective,Replace filter,Replace cartridge filter,On-detection,OCP,OCP,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
A-12.1-C,F12.1,Corrective,Service actuator,Replace packing;lubricate stem,On-detection,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-12.1-P,F12.1,Preventive,Smart positioner diagnostics,Continuous + monthly diagnostic pull,1 month,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-12.2-C,F12.2,Corrective,Re-seat or replace trim,Lap seat or replace trim,On-detection,ISA-75,ISA-75,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-12.3-C,F12.3,Corrective,Replace packing,Replace stem packing set,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-12.4-C,F12.4,Corrective,Re-calibrate positioner,Auto-calibration cycle,On-detection,Emerson,Emerson,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-12.5-C,F12.5,Corrective,Service air supply,Replace regulator/filter;leak-fix,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-13.1-C,F13.1,Corrective,Re-engineer program,Reduce scan-cycle load;split tasks,On-detection,IEC 61131,IEC 61131,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-13.2-C,F13.2,Corrective,Replace comm module,Swap module + reflash,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-13.3-C,F13.3,Corrective,Reflash firmware,OEM-approved firmware reload,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-13.5-C,F13.5,Corrective,Replace 24 VDC PSU,Replace + verify redundancy,On-detection,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-14.1-P,F14.1,Preventive,Periodic calibration,RTD 12-24mo;TC 6-12mo;DP/Pressure 12mo;RH 6-12mo,Per type,IEC 60751,IEC 60751,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-14.4-C,F14.4,Corrective,Service impulse line / blow down,Blow down impulse line;clean diaphragm,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-15.1-C,F15.1,Corrective,Replace VFD cap bank,OEM kit + recommission,On-detection,EPower,EPower,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-15.1-P,F15.1,Preventive,VFD cap replacement schedule,Replace at 5-7 yr,5-7 yr,EPower,EPower,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-15.2-C,F15.2,Corrective,Clean heat-sink + replace fan,Vacuum dust;replace fan,On-detection,Eilitetech,Eilitetech,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-15.5-C,F15.5,Corrective,Megger motor cable,Insulation R test;repair/replace,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-16.1-C,F16.1,Corrective,Replace cable or SFP,Replace per DDM readings,On-detection,Cisco SFP,Cisco SFP,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-16.4-C,F16.4,Corrective,Upgrade firmware,Patch known CVEs;reboot,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-17.1-C,F17.1,Corrective,Replace solenoid + supervise,Replace per NFPA 25;test,On-detection,NFPA 25,NFPA 25,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-17.1-P,F17.1,Preventive,Quarterly trip test,Solenoid + valve trip per NFPA 25,3 months,NFPA 25,NFPA 25,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-17.4-P,F17.4,Preventive,Lock-out tamper switch program,Tamper-switch supervision + LOTO procedure,Continuous,NFSA,NFSA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-18.1-C,F18.1,Corrective,Top-off / replace cylinder,Re-pressurise or replace,On-detection,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-18.1-P,F18.1,Preventive,Monthly cylinder pressure check,Visual pressure gauge,1 month,NFPA 2001,NFPA 2001,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-18.5-P,F18.5,Preventive,Annual door-fan test,ISO 14520 integrity test,12 months,ISO 14520,ISO 14520,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-19.1-C,F19.1,Corrective,Tank cleaning + biocide,Mechanical tank cleaning + biocide treatment,On-detection,ASTM D7978,ASTM D7978,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-19.1-P,F19.1,Preventive,Annual microbial test + polishing,ASTM D7978 + ASTM D6217,12 months,ASTM D7978,ASTM D7978,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-19.2-C,F19.2,Corrective,Draw tank-bottom water,Drain water through tank-bottom port,On-detection,Guardian Fuel,Guardian Fuel,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-19.2-P,F19.2,Preventive,Monthly water-paste check,Stick + paste check,1 month,NFPA 110,NFPA 110,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-19.3-P,F19.3,Preventive,Stabilizer + rotation,Stabilizer additive + annual rotation,12 months,ASTM D975,ASTM D975,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-20.1-C,F20.1,Corrective,Re-anchor pedestal,Replace pedestal + re-bond,On-detection,CISCA,CISCA,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-20.3-C,F20.3,Corrective,Re-coat ESD finish,Re-apply ESD coating,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-20.4-P,F20.4,Preventive,Post-seismic torque check,After any seismic event,On-event,IBC,IBC,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
