oem_id,name,hq_country,founded_year,commodities_supplied,dc_market_position,financial_health_score,typical_lead_time_weeks,typical_otif_pct,contract_models,single_source_risk,notes
carrier,Carrier,United States,1915,"chillers, AHU, CRAC, cooling towers, controls",oem-primary,7,18,89.0,"MSA, framework",medium,19XR/19DV centrifugal chillers; AquaForce/AquaEdge lines.
trane,Trane Technologies,Ireland/US,1885,"chillers, AHU, CRAC, cooling towers, controls",oem-primary,8,18,89.0,"MSA, framework",medium,CenTraVac/Sintesis chillers; large DC cooling installs.
daikin,Daikin Applied (McQuay),Japan,1924,"chillers, AHU, CRAC, fan coils, VRV",oem-primary,8,20,88.0,"MSA, framework",medium,Magnitude magnetic-bearing chillers; AHU + applied systems.
johnson-controls,Johnson Controls / York,United States/Ireland,1885,"chillers, AHU, cooling towers, BMS (Metasys), fire (Tyco)",oem-primary,8,18,88.0,"MSA, framework",low,York YK/YZ chillers; Metasys BMS; Tyco fire suppression.
stulz,STULZ,Germany,1947,"CRAC/CRAH, in-row, rear-door HX, CDU, chillers",specialist,6,16,90.0,"MSA, framework",medium,Precision-cooling specialist; CyberAir/CyberRow; CDU + liquid-cooling products.
munters,Munters,Sweden,1955,"adiabatic/evaporative cooling, AHU, dehumidification",specialist,6,18,88.0,"MSA, PO-only",medium,Indirect-evaporative DC cooling (Oasis/SyCool); dehumidification.
rittal,Rittal,Germany,1961,"server racks, in-row cooling, busbar, enclosures, RDHx",oem-primary,6,12,90.0,"framework, PO-only",low,TS IT racks; LCP in-row/rear-door cooling; RiLine busbar.
legrand,Legrand,France,1865,"PDU, cable management, busway, KVM, containment",oem-primary,7,12,91.0,"framework, PO-only",low,Raritan PDU; Starline busway; Server Technology; cable management.
eaton-tripp-lite,Tripp Lite by Eaton,United States,1922,"PDU, small UPS, KVM, racks, surge",oem-primary,8,8,92.0,"PO-only, framework",low,"Rack PDUs, small UPS, KVM — high-volume distribution."
russelectric,Russelectric (Siemens),United States,1955,"ATS, paralleling switchgear, transfer switches",specialist,7,22,89.0,"MSA, PO-only",medium,Automatic transfer switches + paralleling switchgear; now Siemens.
asco,ASCO Power (Schneider),United States,1888,"ATS, paralleling switchgear, surge, monitoring",specialist,8,18,90.0,"MSA, framework",low,ASCO 7000-series ATS; bypass-isolation switches; now Schneider.
cyberex,Cyberex,United States,1975,"STS, static transfer switches, PDU",specialist,6,20,88.0,PO-only,medium,Static transfer switches for dual-cord loads.
camfil,Camfil,Sweden,1963,"air filters, filter housings, gas-phase filtration",specialist,5,6,90.0,"PO-only, framework",low,HEPA/MERV air filters for AHU/CRAC; consumable-heavy.
aaf,AAF International (Daikin),United States,1921,"air filters, filter banks, housings",specialist,6,6,90.0,"PO-only, framework",low,Air filtration; filter elements consumable.
bosch-fire,Bosch Building Technologies,Germany,1886,"fire detection, VESDA-class aspiration, panels",specialist,8,12,90.0,"framework, PO-only",low,"Aspirating smoke detection, fire panels, detection devices."
xtralis,Xtralis (Honeywell),Australia,1982,VESDA aspirating smoke detection,specialist,7,14,89.0,"framework, PO-only",medium,VESDA — the reference aspirating smoke-detection brand; now Honeywell.
honeywell,Honeywell,United States,1906,"BMS, fire (Notifier/Gamewell), controls, sensors",oem-primary,9,14,90.0,"MSA, framework",low,"BMS controls, Notifier fire panels, sensors, actuators."
tyco-fire,Johnson Controls / Tyco Fire,United States,1874,"clean-agent suppression, sprinklers, fire pumps, panels",oem-primary,8,16,88.0,"MSA, framework",low,Sapphire/INERGEN clean agent; Tyco sprinklers; fire pumps.
fike,Fike,United States,1945,"clean-agent suppression, detection, explosion protection",specialist,5,18,87.0,"PO-only, framework",medium,ECARO-25/PROINERT clean-agent systems; detection.
kidde,Kidde Fire Systems (Carrier),United States,1917,"clean-agent (FM-200/Novec), CO2, detection, panels",specialist,7,16,88.0,"framework, PO-only",low,FM-200/Novec 1230 clean-agent; ADS panels; now Carrier.
tridium,Tridium (Honeywell),United States,1996,"Niagara BMS framework, JACE controllers",specialist,8,12,90.0,"framework, PO-only",medium,Niagara Framework; JACE supervisory controllers.
distech,Distech Controls (Acuity),Canada,1995,"DDC controllers, BMS, IoT controls",specialist,6,12,90.0,"framework, PO-only",medium,ECLYPSE/ECB DDC controllers; Niagara-compatible.
belimo,Belimo,Switzerland,1975,"actuators, control valves, sensors, flow meters",specialist,7,8,93.0,"PO-only, framework",low,HVAC actuators + characterized control valves; energy valves.
danfoss,Danfoss,Denmark,1933,"valves, drives, compressors, sensors, heat exchangers",oem-primary,8,12,91.0,"framework, PO-only",low,Refrigeration components; drives; valves; plate HX.
grundfos,Grundfos,Denmark,1945,"pumps, pump controls, sensors",oem-primary,7,10,92.0,"framework, PO-only",low,Centrifugal/circulator pumps for chilled-water + condenser loops.
xylem,Xylem (Bell & Gossett),United States,2011,"pumps, heat exchangers, valves, controls",oem-primary,7,12,90.0,"framework, PO-only",low,Bell & Gossett pumps; plate-and-frame HX; coil products.
armstrong,Armstrong Fluid Technology,Canada,1934,"pumps, design-envelope packages, controls",specialist,6,12,91.0,"framework, PO-only",low,Design Envelope pumping; integrated pump-controls packages.
taco,Taco Comfort Solutions,United States,1920,"pumps, heat exchangers, controls, expansion tanks",specialist,5,10,90.0,PO-only,low,Circulator pumps; brazed-plate HX; expansion/air management.
wilo,Wilo,Germany,1872,"pumps, pump systems, controls",specialist,6,12,90.0,"framework, PO-only",low,Smart circulator + inline pumps; building-services pumping.
spirax-sarco,Spirax Sarco,United Kingdom,1888,"valves, steam/condensate, flow meters, controls",specialist,7,10,91.0,"PO-only, framework",low,Control valves; pressure-reducing valves; metering.
victaulic,Victaulic,United States,1919,"grooved pipe couplings, valves, fittings",specialist,6,8,91.0,"PO-only, framework",low,Grooved mechanical pipe joining; valves; fittings — chilled-water + fire pipework.
swagelok,Swagelok,United States,1947,"tube fittings, valves, hoses, regulators",specialist,7,6,93.0,"PO-only, framework",low,Tube fittings + instrumentation valves — coolant + sensor lines.
parker,Parker Hannifin,United States,1917,"fittings, hoses, filters, valves, seals",oem-primary,8,10,91.0,"framework, PO-only",low,Hydraulic/fluid-connector products; filtration; seals.
coolit,CoolIT Systems,Canada,2001,"direct-to-chip liquid cooling, CDU, cold plates, manifolds",specialist,5,16,88.0,"framework, PO-only",high,Direct-to-chip liquid cooling for AI/HPC; CDU + cold plates.
asetek,Asetek,Denmark,1997,"direct-to-chip liquid cooling, cold plates, CDU",specialist,4,18,86.0,"framework, PO-only",high,D2C liquid cooling; cold plates; rack-level CDU.
boyd,Boyd Corporation,United States,1928,"cold plates, heat exchangers, thermal interface, CDU",specialist,5,16,87.0,"framework, PO-only",high,Liquid cold plates; brazed HX; thermal-management assemblies.
motivair,Motivair (Schneider),United States,1988,"CDU, rear-door HX, chillers, dry coolers",specialist,6,16,88.0,"framework, PO-only",medium,CDUs + rear-door heat exchangers + chillers for HPC; now Schneider.
zutacore,ZutaCore,Israel,2016,"two-phase direct-to-chip cooling, HyperCool",specialist,3,20,84.0,"framework, PO-only",high,Two-phase D2C liquid cooling for AI; waterless dielectric.
iceotope,Iceotope,United Kingdom,2005,precision immersion (chassis-level) cooling,specialist,3,20,84.0,"framework, PO-only",high,Chassis-level precision immersion; KU:L systems.
grc,GRC (Green Revolution Cooling),United States,2009,single-phase immersion cooling systems,specialist,4,18,85.0,"framework, PO-only",high,Single-phase immersion tanks (ICEraQ/ICEtank); dielectric fluid.
liquidstack,LiquidStack,United States,2012,"two-phase immersion cooling, CDU",specialist,3,20,84.0,"framework, PO-only",high,Two-phase immersion + D2C; CDUs; partnered with Trane.
submer,Submer,Spain,2015,"single/two-phase immersion cooling, SmartPodX",specialist,3,20,84.0,"framework, PO-only",high,Immersion cooling pods; SmartCoolant dielectric fluid.
nvent,nVent (Hoffman/Schroff/Erico),United Kingdom,2018,"enclosures, busbar, cable management, grounding",oem-primary,7,12,90.0,"framework, PO-only",low,Hoffman enclosures; Schroff racks; Erico grounding; busbar.
chatsworth,Chatsworth Products (CPI),United States,1991,"server racks, containment, cable management, PDU",specialist,5,10,90.0,"framework, PO-only",low,TeraFrame racks; aisle containment; eConnect PDU.
panduit,Panduit,United States,1955,"structured cabling, racks, cable management, grounding",oem-primary,6,10,91.0,"framework, PO-only",low,Copper/fiber cabling systems; cable management; racks.
commscope,CommScope (Systimax/Uniprise),United States,1976,"structured cabling, fiber, ODF, patch panels",oem-primary,6,12,90.0,"framework, PO-only",low,Systimax cabling; fiber distribution; high-density ODF.
corning,Corning Optical Communications,United States,1851,"fiber cable, ODF, connectors, splice modules",oem-primary,8,12,91.0,"framework, PO-only",low,Single-mode/multi-mode fiber; EDGE ODF; MTP/MPO systems.
leviton,Leviton Network Solutions,United States,1906,"structured cabling, fiber, patch panels, racks",oem-primary,6,10,91.0,"framework, PO-only",low,Atlas-X1 copper; fiber cassettes; e-Bay racks.
hpe,HPE / Cray (network/compute),United States,2015,"network switches, interconnect, compute, Slingshot",oem-primary,8,16,89.0,"MSA, framework",medium,Slingshot interconnect; Apollo/Cray EX HPC; switches.
nvidia,NVIDIA (network),United States,1993,"InfiniBand/Spectrum switches, NVLink, DPUs",oem-primary,10,20,88.0,"MSA, framework",high,Quantum InfiniBand + Spectrum Ethernet; NVLink switches; DGX/HGX infra.
arista,Arista Networks,United States,2004,"data-center Ethernet switches, optics",oem-primary,9,14,90.0,"framework, PO-only",medium,7000-series DC switches; EOS; high-speed optics.
cisco,Cisco Systems,United States,1984,"network switches, optics, console servers",oem-primary,9,14,90.0,"MSA, framework",low,Nexus DC switches; transceivers; UCS; console/management.
juniper,Juniper Networks (HPE),United States,1996,"data-center switches, routers, optics",oem-primary,8,14,89.0,"framework, PO-only",medium,QFX DC switches; Junos; now HPE.
camille-bauer,Camille Bauer / GMC Instruments,Switzerland,1900,"power meters, transducers, monitoring",specialist,5,10,90.0,PO-only,low,Power-quality meters; transducers; energy monitoring.
packet-power,Packet Power,United States,2008,"wireless power/environment monitoring, DCIM sensors",specialist,4,8,90.0,PO-only,medium,Wireless power + environmental monitoring nodes; DCIM.
ge-grid,GE Vernova / GE Grid Solutions,United States/France,1892,"MV switchgear, transformers, protection relays",oem-primary,7,24,87.0,"MSA, framework",medium,MV switchgear (Multilin protection); medium/large transformers.
hyosung,HD Hyundai Electric / Hyosung Heavy,South Korea,1962,"transformers, MV switchgear, GIS",oem-primary,6,28,86.0,"MSA, framework",high,Power transformers; GIS; MV switchgear — long lead times.
powell,Powell Industries,United States,1947,"MV switchgear, bus duct, control buildings",specialist,6,26,87.0,"MSA, framework",medium,Custom MV switchgear; e-houses; integrated power packages.
nidec,Nidec / Leroy-Somer,Japan/France,1973,"motors, alternators, drives, pumps",oem-primary,7,14,89.0,"framework, PO-only",low,Industrial motors + alternators (genset ends); drives.
weg,WEG,Brazil,1961,"motors, drives, transformers, switchgear",oem-primary,7,16,89.0,"framework, PO-only",low,Industrial motors; drives; transformers; LV switchgear.
franklin,Franklin Electric / Pioneer Pump,United States,1944,"pumps, motors, controls",specialist,5,12,89.0,PO-only,low,Submersible/surface pumps; motors; controls.
bell-gossett,Bell & Gossett (Xylem),United States,1916,"pumps, heat exchangers, air separators, valves",specialist,7,12,90.0,"framework, PO-only",low,HVAC pumps; brazed-plate + plate-and-frame HX; hydronic accessories.
alfa-laval,Alfa Laval,Sweden,1883,"plate heat exchangers, valves, separation",oem-primary,8,12,91.0,"framework, PO-only",low,Gasketed/brazed/welded plate HX — chilled-water + free-cooling + D2C facility loops.
kelvion,Kelvion,Germany,2015,"heat exchangers, dry coolers, condensers",specialist,6,16,88.0,"framework, PO-only",medium,Plate + finned-tube HX; dry coolers; adiabatic coolers (ex-GEA HX).
guntner,Güntner,Germany,1931,"dry coolers, condensers, evaporators, adiabatic",specialist,6,16,88.0,"framework, PO-only",medium,Finned-tube dry coolers; adiabatic coolers — free-cooling + facility loops.
baltimore-aircoil,Baltimore Aircoil (BAC),United States,1938,"cooling towers, evaporative condensers, closed-circuit coolers",oem-primary,7,16,89.0,"framework, PO-only",medium,Open/closed-circuit cooling towers; evaporative fluid coolers.
spx-cooling,SPX Cooling (Marley),United States,1922,"cooling towers, fluid coolers, fans, fill",oem-primary,7,16,88.0,"framework, PO-only",medium,Marley cooling towers; fill media; gearboxes; fans.
evapco,EVAPCO,United States,1976,"cooling towers, evaporative condensers, closed-circuit coolers",oem-primary,7,16,89.0,"framework, PO-only",medium,Evaporative cooling equipment; closed-circuit coolers.
victaulic-fire,Victaulic Fire,United States,1919,"fire-protection valves, couplings, sprinkler fittings",specialist,6,8,91.0,PO-only,low,Grooved fire-protection products; valves; couplings.
viking-fire,Viking Group,United States,1921,"sprinklers, fire-protection valves, fire pumps",specialist,5,12,89.0,"PO-only, framework",low,Sprinkler heads; deluge/alarm valves; fire-pump packages.
pentair-fire,Pentair (Aurora/Hydromatic fire pumps),United Kingdom,2000,"fire pumps, jockey pumps, pump packages",specialist,6,14,89.0,"framework, PO-only",medium,Fire-pump packages; jockey pumps; controllers.
generic-mech,Generic / Third-Party Mechanical,International,,"bearings, seals, belts, filters, gaskets, fasteners",generic,4,4,85.0,PO-only,medium,Commodity mechanical consumables — multiple interchangeable sources.
generic-elec,Generic / Third-Party Electrical,International,,"breakers, contactors, relays, fuses, terminals, cable",generic,4,4,85.0,PO-only,medium,Commodity electrical components — multiple interchangeable sources.
generic-fluid,Generic / Third-Party Fluid,International,,"hoses, fittings, gauges, strainers, valves, gaskets",generic,4,3,85.0,PO-only,low,Commodity fluid-system components — multiple interchangeable sources.
refurb-pool,Certified Refurbished / Harvested Pool,International,,refurbished modules harvested from decommissioned equipment,specialist,3,2,80.0,PO-only,high,Reclaimed/refurbished parts from decommissioned DCs — circular-economy sourcing.
